date,cmg,tan,flsr,rgse
2014-10-07,662.820007,33.940845,60.419998,17160.0
2014-10-08,672.099976,34.407883,62.189999,17760.0
2014-10-09,660.6099849999999,32.440945,56.490002000000004,16440.0
2014-10-10,655.580017,31.399096000000004,53.720001,14640.0
2014-10-13,639.530029,29.97105,50.509997999999996,13920.0
2014-10-14,651.169983,30.393177,52.0,14760.0
2014-10-15,647.380005,30.474012,53.240002000000004,14760.0
2014-10-16,645.97998,31.713449,54.220001,15600.0
2014-10-17,641.719971,32.234371,53.23,15000.0
2014-10-20,653.030029,33.357056,54.369999,14280.0
2014-10-21,607.549988,34.282139,56.349998,14280.0
2014-10-22,608.98999,33.285202000000005,54.75,14640.0
2014-10-23,610.0,33.680378000000005,56.27,14040.0
2014-10-24,615.780029,33.626492,56.439999,14040.0
2014-10-27,630.1099849999999,32.863071000000005,54.290001000000004,13680.0
2014-10-28,645.849976,33.958805,57.380001,13320.0
2014-10-29,639.8599849999999,33.527699,56.16,12480.0
2014-10-30,639.679993,33.491772,56.099998,11160.0
2014-10-31,638.0,34.443802000000005,58.900002,9720.0
2014-11-03,638.530029,34.273154999999996,58.310001,9600.0
2014-11-04,647.679993,33.833065000000005,56.869999,9600.0
2014-11-05,642.590027,33.024741999999996,56.259997999999996,9480.0
2014-11-06,647.119995,33.123535,56.41,10800.0
2014-11-07,649.030029,32.575668,50.290001000000004,11160.0
2014-11-10,648.8599849999999,32.144562,51.959998999999996,10440.0
2014-11-11,656.650024,32.009838,50.990002000000004,9720.0
2014-11-12,664.25,31.300301,49.59,9840.0
2014-11-13,670.75,30.752436,47.560001,9600.0
2014-11-14,669.799988,31.390118,48.490002000000004,9600.0
2014-11-17,658.320007,31.084746999999997,47.950001,10080.0
2014-11-18,658.090027,32.629559,49.459998999999996,10560.0
2014-11-19,658.5599980000001,32.755291,48.82,9840.0
2014-11-20,662.830017,33.114548,49.43,10560.0
2014-11-21,657.880005,34.030654999999996,49.759997999999996,9720.0
2014-11-24,659.539978,34.048621999999995,50.66,9480.0
2014-11-25,654.900024,33.806118,51.040001000000004,9960.0
2014-11-26,660.210022,33.761215,51.529999,9960.0
2014-11-28,663.619995,32.090672,48.799999,9480.0
2014-12-01,660.880005,30.429104,45.759997999999996,8760.0
2014-12-02,660.039978,31.012896,46.419998,9360.0
2014-12-03,651.27002,31.408081,47.119999,8640.0
2014-12-04,663.969971,31.309284,46.720001,8280.0
2014-12-05,660.570007,31.623631,46.91,7920.0
2014-12-08,657.030029,30.644655,44.650002,6840.0
2014-12-09,657.090027,30.734471999999997,45.060001,6600.0
2014-12-10,650.039978,30.617714000000003,43.07,6360.0
2014-12-11,654.3900150000001,30.797341999999997,43.040001000000004,7080.0
2014-12-12,657.669983,30.186605,42.119999,7200.0
2014-12-15,648.830017,29.620775,41.66,7080.0
2014-12-16,633.52002,29.126795,40.900002,7320.0
2014-12-17,649.150024,29.71957,42.349998,6960.0
2014-12-18,655.599976,30.267437,45.209998999999996,8400.0
2014-12-19,651.419983,30.725487,45.029999,7800.0
2014-12-22,667.659973,30.716507,43.84,7080.0
2014-12-23,669.210022,30.959011,44.060001,7320.0
2014-12-24,672.789978,31.224394,43.669998,7080.0
2014-12-26,678.0599980000001,31.581296999999996,44.34,7080.0
2014-12-29,692.6900019999999,31.077971999999995,44.419998,6360.0
2014-12-30,684.909973,30.794283,44.52,6000.0
2014-12-31,684.51001,31.206089000000002,44.599998,5760.0
2015-01-02,678.400024,31.096275,44.549999,6600.0
2015-01-05,667.6900019999999,30.281807,41.830002,5880.0
2015-01-06,664.380005,29.696121,40.860001000000004,6360.0
2015-01-07,694.26001,29.705271000000003,41.75,6240.0
2015-01-08,719.98999,30.400778000000003,43.630001,6960.0
2015-01-09,714.27002,30.602103999999997,44.200001,6720.0
2015-01-12,711.700012,30.364168,42.830002,6240.0
2015-01-13,714.0599980000001,30.949854,42.709998999999996,6120.0
2015-01-14,709.73999,30.931551000000002,42.279999,6120.0
2015-01-15,700.780029,29.760181,40.16,5880.0
2015-01-16,711.1099849999999,29.998114,40.720001,5880.0
2015-01-20,705.780029,29.357522999999997,39.830002,5640.0
2015-01-21,703.8900150000001,29.741877000000002,41.400002,5760.0
2015-01-22,713.4400019999999,29.860846999999996,41.900002,5760.0
2015-01-23,713.6900019999999,30.37332,42.540001000000004,5760.0
2015-01-26,723.429993,31.434875,44.169998,5880.0
2015-01-27,721.330017,31.919903,43.720001,5640.0
2015-01-28,711.98999,30.885797999999998,42.700001,5760.0
2015-01-29,714.530029,31.151186,42.360001000000004,5640.0
2015-01-30,709.840027,30.959011,42.32,5040.0
2015-02-02,712.549988,31.929046999999997,45.48,5040.0
2015-02-03,726.630005,33.475632,48.16,4440.0
2015-02-04,676.0,33.429871,46.98,4440.0
2015-02-05,670.909973,33.786774,46.900002,4560.0
2015-02-06,659.919983,33.896591,46.900002,4560.0
2015-02-09,648.01001,34.052162,46.330002,4440.0
2015-02-10,665.030029,34.50058,48.540001000000004,4440.0
2015-02-11,669.6400150000001,34.6287,48.77,4320.0
2015-02-12,670.289978,35.269295,49.419998,4800.0
2015-02-13,674.8900150000001,35.498077,48.84,4680.0
2015-02-17,670.929993,35.507225,49.619999,3120.0
2015-02-18,674.570007,35.589588,48.84,3840.0
2015-02-19,673.280029,35.122871,48.41,4920.0
2015-02-20,674.0,35.177776,49.02,5760.0
2015-02-23,671.169983,34.884937,49.639998999999996,8400.0
2015-02-24,667.909973,36.12952,54.700001,6120.0
2015-02-25,675.52002,36.285090999999994,58.540001000000004,5640.0
2015-02-26,670.289978,36.120365,58.68,5400.0
2015-02-27,664.969971,36.14782,59.75,4920.0
2015-03-02,670.8599849999999,37.072105,61.110001000000004,5160.0
2015-03-03,668.429993,37.630337,60.689999,4800.0
2015-03-04,664.159973,39.268429,61.200001,4440.0
2015-03-05,670.48999,41.290874,61.66,4800.0
2015-03-06,658.679993,40.07375,60.610001000000004,4320.0
2015-03-09,660.340027,39.433151,61.060001,4560.0
2015-03-10,654.73999,38.66444,59.860001000000004,4440.0
2015-03-11,660.77002,39.067101,59.290001000000004,4080.0
2015-03-12,670.3900150000001,39.478909,60.610001000000004,3480.0
2015-03-13,674.51001,39.158615000000005,60.599998,3240.0
2015-03-16,678.880005,39.497215000000004,60.220001,3360.0
2015-03-17,672.0,40.082896999999996,60.490002000000004,3720.0
2015-03-18,673.280029,40.796707,61.43,3720.0
2015-03-19,680.669983,40.686886,60.299999,3600.0
2015-03-20,686.650024,41.492207,60.259997999999996,3360.0
2015-03-23,687.340027,41.611179,60.580002,3120.0
2015-03-24,680.8099980000001,42.087047999999996,62.52,3360.0
2015-03-25,665.969971,40.293377,60.09,3360.0
2015-03-26,658.820007,40.101203999999996,59.619999,3240.0
2015-03-27,662.719971,40.677738,59.610001000000004,3240.0
2015-03-30,655.3599849999999,41.062092,60.689999,3000.0
2015-03-31,650.539978,40.659434999999995,59.790001000000004,3240.0
2015-04-01,652.530029,41.272572,60.830002,3000.0
2015-04-02,652.3900150000001,41.821659000000004,61.189999,3000.0
2015-04-06,660.02002,42.25177,61.509997999999996,3120.0
2015-04-07,658.460022,41.949776,61.27,2880.0
2015-04-08,654.549988,42.663578,60.650002,2760.0
2015-04-09,651.719971,43.651924,61.18,2880.0
2015-04-10,683.02002,43.944767,61.299999,2760.0
2015-04-13,683.72998,44.420643,61.41,2640.0
2015-04-14,677.849976,44.201008,61.07,2400.0
2015-04-15,677.599976,44.612815999999995,63.740002000000004,2400.0
2015-04-16,681.549988,45.015471999999995,62.889998999999996,2400.0
2015-04-17,683.950012,43.926464,61.939999,2280.0
2015-04-20,686.929993,43.926464,62.25,2400.0
2015-04-21,692.52002,44.33828,63.110001000000004,2280.0
2015-04-22,641.22998,44.859905,63.889998999999996,2400.0
2015-04-23,635.599976,45.710978999999995,64.75,2400.0
2015-04-24,637.5,44.393184999999995,63.43,2400.0
2015-04-27,643.75,44.228462,62.919998,2280.0
2015-04-28,639.580017,44.649421999999994,63.57,2400.0
2015-04-29,630.070007,43.972221000000005,61.939999,2400.0
2015-04-30,621.340027,43.01133,59.669998,2400.0
2015-05-01,634.0,43.459747,57.34,3120.0
2015-05-04,633.570007,43.395683,56.779999,2640.0
2015-05-05,625.669983,42.718486999999996,56.810001,2640.0
2015-05-06,627.22998,41.611179,55.66,2760.0
2015-05-07,628.820007,41.730140999999996,56.32,2640.0
2015-05-08,633.820007,43.047939,56.369999,2640.0
2015-05-11,635.669983,43.212662,56.380001,2520.0
2015-05-12,635.549988,43.047939,56.049999,2400.0
