date,state,positive
20200520,MN,641
20200520,MO,152
20200520,MP,0
20200520,MS,263
20200520,MT,7
20200520,NC,422
20200520,ND,101
20200520,NE,221
20200520,NH,69
20200520,NJ,1386
20200520,NM,96
20200520,NV,120
20200520,NY,1525
20200520,OH,484
20200520,OK,43
20200520,OR,75
20200520,PA,0
20200520,PR,61
20200520,RI,405
20200520,SC,0
20200520,SD,92
20200520,TN,154
20200520,TX,1411
20200520,UT,326
20200520,VA,763
20200520,VI,0
20200520,VT,0
20200520,WA,11
20200520,WI,528
20200520,WV,36
20200520,WY,21
20200519,AK,0
20200519,AL,290
20200519,AR,110
20200519,AS,0
20200519,AZ,396
20200519,CA,1365
20200519,CO,264
20200519,CT,314
20200519,DC,164
20200519,DE,168
20200519,FL,502
20200519,GA,640
20200519,GU,0
20200519,HI,0
20200519,IA,394
20200519,ID,36
20200519,IL,1545
20200519,IN,450
20200519,KS,0
20200519,KY,381
20200519,LA,329
20200519,MA,1915
20200519,MD,1784
20200519,ME,28
20200519,MI,435
20200519,MN,657
20200519,MO,135
20200519,MP,0
20200519,MS,272
20200519,MT,1
20200519,NC,677
20200519,ND,63
20200519,NE,277
20200519,NH,56
20200519,NJ,974
20200519,NM,158
20200519,NV,140
20200519,NY,1474
20200519,OH,498
20200519,OK,91
20200519,OR,39
20200519,PA,610
20200519,PR,95
20200519,RI,156
20200519,SC,114
20200519,SD,58
20200519,TN,367
20200519,TX,1219
20200519,UT,0
20200519,VA,1005
20200519,VI,0
20200519,VT,0
20200519,WA,66
20200519,WI,198
20200519,WV,18
20200519,WY,12
20200518,AK,3
20200518,AL,315
20200518,AR,54
20200518,AS,0
20200518,AZ,233
20200518,CA,1591
20200518,CO,305
20200518,CT,697
20200518,DC,147
20200518,DE,199
20200518,FL,854
20200518,GA,380
20200518,GU,0
20200518,HI,1
20200518,IA,304
20200518,ID,0
20200518,IL,2294
20200518,IN,477
20200518,KS,454
20200518,KY,0
20200518,LA,277
20200518,MA,0
20200518,MD,958
20200518,ME,26
20200518,MI,773
20200518,MN,704
20200518,MO,156
20200518,MP,0
20200518,MS,136
20200518,MT,2
20200518,NC,511
20200518,ND,31
20200518,NE,128
20200518,NH,40
20200518,NJ,1705
20200518,NM,81
20200518,NV,49
20200518,NY,1250
20200518,OH,531
20200518,OK,88
20200518,OR,64
20200518,PA,822
20200518,PR,64
20200518,RI,121
20200518,SC,281
20200518,SD,40
20200518,TN,623
20200518,TX,909
20200518,UT,146
20200518,VA,752
20200518,VI,0
20200518,VT,4
20200518,WA,114
20200518,WI,144
20200518,WV,1
20200518,WY,0
20200517,AK,4
20200517,AL,248
20200517,AR,181
20200517,AS,0
20200517,AZ,306
20200517,CA,2046
20200517,CO,401
20200517,CT,716
20200517,DC,81
20200517,DE,123
20200517,FL,777
20200517,GA,554
20200517,GU,0
20200517,HI,1
20200517,IA,323
20200517,ID,30
20200517,IL,1734
20200517,IN,498
20200517,KS,0
20200517,KY,244
20200517,LA,315
20200517,MA,1077
20200517,MD,836
20200517,ME,39
20200517,MI,638
20200517,MN,699
20200517,MO,114
20200517,MP,0
20200517,MS,173
20200517,MT,0
20200517,NC,530
20200517,ND,52
20200517,NE,448
20200517,NH,92
20200517,NJ,1245
20200517,NM,195
20200517,NV,195
20200517,NY,1889
20200517,OH,449
20200517,OK,73
20200517,OR,11
20200517,PA,623
20200517,PR,57
20200517,RI,240
20200517,SC,254
20200517,SD,28
20200517,TN,100
20200517,TX,785
20200517,UT,170
20200517,VA,705
20200517,VI,0
20200517,VT,0
20200517,WA,52
20200517,WI,356
20200517,WV,33
20200517,WY,38
20200516,AK,4
20200516,AL,307
20200516,AR,115
20200516,AS,0
20200516,AZ,462
20200516,CA,1857
20200516,CO,394
20200516,CT,618
20200516,DC,171
20200516,DE,174
20200516,FL,1601
20200516,GA,466
20200516,GU,0
20200516,HI,1
20200516,IA,279
20200516,ID,38
20200516,IL,2088
20200516,IN,625
20200516,KS,0
20200516,KY,219
20200516,LA,280
20200516,MA,1512
20200516,MD,982
20200516,ME,45
20200516,MI,425
20200516,MN,729
20200516,MO,219
20200516,MP,2
20200516,MS,322
20200516,MT,2
20200516,NC,853
20200516,ND,87
20200516,NE,356
20200516,NH,0
20200516,NJ,1184
20200516,NM,159
20200516,NV,48
20200516,NY,2419
20200516,OH,520
20200516,OK,151
20200516,OR,71
20200516,PA,989
20200516,PR,47
20200516,RI,215
20200516,SC,0
20200516,SD,72
20200516,TN,318
20200516,TX,1801
20200516,UT,155
20200516,VA,1011
20200516,VI,0
20200516,VT,8
20200516,WA,112
20200516,WI,502
20200516,WV,16
20200516,WY,1
20200515,AK,1
20200515,AL,248
20200515,AR,227
20200515,AS,0
20200515,AZ,495
20200515,CA,1772
20200515,CO,363
20200515,CT,621
20200515,DC,135
20200515,DE,150
20200515,FL,0
20200515,GA,823
20200515,GU,1
20200515,HI,-1
20200515,IA,374
20200515,ID,27
20200515,IL,2432
20200515,IN,602
20200515,KS,418
20200515,KY,145
20200515,LA,348
20200515,MA,1239
20200515,MD,1083
20200515,ME,38
20200515,MI,497
20200515,MN,805
20200515,MO,139
20200515,MP,0
20200515,MS,318
20200515,MT,4
20200515,NC,622
20200515,ND,114
20200515,NE,341
20200515,NH,165
20200515,NJ,1201
20200515,NM,139
20200515,NV,115
20200515,NY,2762
20200515,OH,597
20200515,OK,124
20200515,OR,62
20200515,PA,986
20200515,PR,115
20200515,RI,203
20200515,SC,218
20200515,SD,95
20200515,TN,271
20200515,TX,1347
20200515,UT,164
20200515,VA,859
20200515,VI,0
20200515,VT,1
20200515,WA,245
20200515,WI,410
20200515,WV,14
20200515,WY,14
20200514,AK,4
20200514,AL,351
20200514,AR,72
20200514,AS,0
20200514,AZ,498
20200514,CA,2023
20200514,CO,318
20200514,CT,609
20200514,DC,152
20200514,DE,271
20200514,FL,808
20200514,GA,526
20200514,GU,1
20200514,HI,3
20200514,IA,386
20200514,ID,31
20200514,IL,3239
20200514,IN,580
20200514,KS,0
20200514,KY,227
20200514,LA,827
20200514,MA,1685
20200514,MD,1091
20200514,ME,50
20200514,MI,1191
20200514,MN,518
20200514,MO,175
20200514,MP,0
20200514,MS,393
20200514,MT,0
20200514,NC,691
20200514,ND,0
20200514,NE,383
20200514,NH,60
20200514,NJ,1144
20200514,NM,152
20200514,NV,105
20200514,NY,2390
20200514,OH,636
20200514,OK,110
20200514,OR,63
20200514,PA,938
20200514,PR,98
20200514,RI,181
20200514,SC,262
20200514,SD,60
20200514,TN,329
20200514,TX,1448
20200514,UT,129
20200514,VA,1067
20200514,VI,0
20200514,VT,1
20200514,WA,247
20200514,WI,373
20200514,WV,29
20200514,WY,26
20200513,AK,0
20200513,AL,307
20200513,AR,0
20200513,AS,0
20200513,AZ,440
20200513,CA,1759
20200513,CO,278
20200513,CT,522
20200513,DC,99
20200513,DE,211
20200513,FL,479
20200513,GA,697
20200513,GU,0
20200513,HI,1
20200513,IA,377
20200513,ID,33
20200513,IL,1677
20200513,IN,346
20200513,KS,352
20200513,KY,176
20200513,LA,612
20200513,MA,1165
20200513,MD,751
20200513,ME,38
20200513,MI,370
20200513,MN,423
20200513,MO,136
20200513,MP,0
20200513,MS,182
20200513,MT,1
20200513,NC,470
20200513,ND,76
20200513,NE,120
20200513,NH,79
20200513,NJ,817
20200513,NM,143
20200513,NV,83
20200513,NY,2176
20200513,OH,471
20200513,OK,120
20200513,OR,130
20200513,PA,707
20200513,PR,30
20200513,RI,221
20200513,SC,0
20200513,SD,69
20200513,TN,259
20200513,TX,1355
20200513,UT,188
20200513,VA,946
20200513,VI,0
20200513,VT,1
20200513,WA,280
20200513,WI,291
20200513,WV,27
20200513,WY,0
20200512,AK,2
20200512,AL,301
20200512,AR,130
20200512,AS,0
20200512,AZ,356
20200512,CA,1443
20200512,CO,-20
20200512,CT,568
20200512,DC,96
20200512,DE,176
20200512,FL,941
20200512,GA,708
20200512,GU,1
20200512,HI,2
20200512,IA,539
20200512,ID,30
20200512,IL,4014
20200512,IN,500
20200512,KS,0
20200512,KY,237
20200512,LA,235
20200512,MA,870
20200512,MD,688
20200512,ME,15
20200512,MI,469
20200512,MN,695
20200512,MO,88
20200512,MP,0
20200512,MS,234
20200512,MT,2
20200512,NC,301
20200512,ND,53
20200512,NE,257
20200512,NH,0
20200512,NJ,798
20200512,NM,206
20200512,NV,159
20200512,NY,1430
20200512,OH,473
20200512,OK,119
20200512,OR,0
20200512,PA,837
20200512,PR,43
20200512,RI,164
20200512,SC,274
20200512,SD,49
20200512,TN,567
20200512,TX,1179
20200512,UT,70
20200512,VA,730
20200512,VI,0
20200512,VT,2
20200512,WA,241
20200512,WI,193
20200512,WV,5
20200512,WY,13
20200511,AK,2
20200511,AL,232
20200511,AR,287
20200511,AS,0
20200511,AZ,261
20200511,CA,1259
20200511,CO,196
20200511,CT,211
20200511,DC,117
20200511,DE,118
20200511,FL,386
20200511,GA,486
20200511,GU,0
20200511,HI,1
20200511,IA,414
20200511,ID,0
20200511,IL,1266
20200511,IN,501
20200511,KS,168
20200511,KY,0
20200511,LA,215
20200511,MA,669
20200511,MD,786
20200511,ME,26
20200511,MI,414
20200511,MN,528
20200511,MO,74
20200511,MP,3
20200511,MS,173
20200511,MT,1
20200511,NC,281
20200511,ND,27
20200511,NE,81
20200511,NH,149
20200511,NJ,1413
20200511,NM,85
20200511,NV,54
20200511,NY,1660
20200511,OH,696
20200511,OK,24
20200511,OR,58
20200511,PA,543
20200511,PR,58
20200511,RI,176
20200511,SC,0
20200511,SD,97
20200511,TN,559
20200511,TX,1000
20200511,UT,111
20200511,VA,989
20200511,VI,0
20200511,VT,1
20200511,WA,283
20200511,WI,199
20200511,WV,6
20200511,WY,1
20200510,AK,1
20200510,AL,210
20200510,AR,0
20200510,AS,0
20200510,AZ,159
20200510,CA,2119
20200510,CO,876
20200510,CT,570
20200510,DC,170
20200510,DE,170
20200510,FL,595
20200510,GA,909
20200510,GU,0
20200510,HI,2
20200510,IA,288
20200510,ID,25
20200510,IL,1656
20200510,IN,394
20200510,KS,197
20200510,KY,152
20200510,LA,183
20200510,MA,1050
20200510,MD,1053
20200510,ME,28
20200510,MI,382
20200510,MN,481
20200510,MO,178
20200510,MP,0
20200510,MS,123
20200510,MT,0
20200510,NC,404
20200510,ND,27
20200510,NE,403
20200510,NH,64
20200510,NJ,1447
20200510,NM,105
20200510,NV,70
20200510,NY,2273
20200510,OH,384
20200510,OK,99
20200510,OR,68
20200510,PA,1295
20200510,PR,25
20200510,RI,285
20200510,SC,122
20200510,SD,124
20200510,TN,217
20200510,TX,1009
20200510,UT,148
20200510,VA,885
20200510,VI,1
20200510,VT,0
20200510,WA,51
20200510,WI,280
20200510,WV,25
20200510,WY,17
20200509,AK,1
20200509,AL,346
20200509,AR,53
20200509,AS,0
20200509,AZ,434
20200509,CA,2049
20200509,CO,26
20200509,CT,573
20200509,DC,203
20200509,DE,166
20200509,FL,802
20200509,GA,426
20200509,GU,0
20200509,HI,0
20200509,IA,214
20200509,ID,27
20200509,IL,2325
20200509,IN,586
20200509,KS,250
20200509,KY,159
20200509,LA,562
20200509,MA,1410
20200509,MD,1049
20200509,ME,34
20200509,MI,430
20200509,MN,702
20200509,MO,177
20200509,MP,1
20200509,MS,288
20200509,MT,0
20200509,NC,492
20200509,ND,39
20200509,NE,641
20200509,NH,104
20200509,NJ,1631
20200509,NM,180
20200509,NV,144
20200509,NY,2715
20200509,OH,681
20200509,OK,66
20200509,OR,92
20200509,PA,1078
20200509,PR,17
20200509,RI,210
20200509,SC,389
20200509,SD,249
20200509,TN,327
20200509,TX,1251
20200509,UT,184
20200509,VA,854
20200509,VI,0
20200509,VT,8
20200509,WA,121
20200509,WI,349
20200509,WV,25
20200509,WY,9
20200508,AK,3
20200508,AL,323
20200508,AR,83
20200508,AS,0
20200508,AZ,581
20200508,CA,1898
20200508,CO,971
20200508,CT,627
20200508,DC,245
20200508,DE,172
20200508,FL,371
20200508,GA,667
20200508,GU,0
20200508,HI,3
20200508,IA,398
20200508,ID,20
20200508,IL,2887
20200508,IN,643
20200508,KS,357
20200508,KY,195
20200508,LA,203
20200508,MA,1612
20200508,MD,1111
20200508,ME,44
20200508,MI,680
20200508,MN,723
20200508,MO,148
20200508,MP,0
20200508,MS,404
20200508,MT,2
20200508,NC,471
20200508,ND,54
20200508,NE,419
20200508,NH,103
20200508,NJ,1819
20200508,NM,202
20200508,NV,118
20200508,NY,2758
20200508,OH,885
20200508,OK,94
20200508,OR,79
20200508,PA,1323
20200508,PR,125
20200508,RI,249
20200508,SC,206
20200508,SD,239
20200508,TN,345
20200508,TX,1219
20200508,UT,195
20200508,VA,772
20200508,VI,2
20200508,VT,2
20200508,WA,245
20200508,WI,375
20200508,WV,23
20200508,WY,4
20200507,AK,2
20200507,AL,317
20200507,AR,43
20200507,AS,0
20200507,AZ,238
20200507,CA,1799
20200507,CO,466
20200507,CT,789
20200507,DC,193
20200507,DE,161
20200507,FL,826
20200507,GA,743
20200507,GU,0
20200507,HI,1
20200507,IA,655
20200507,ID,31
20200507,IL,2641
20200507,IN,633
20200507,KS,410
20200507,KY,112
20200507,LA,253
20200507,MA,1696
20200507,MD,1211
20200507,ME,76
20200507,MI,592
20200507,MN,786
20200507,MO,239
20200507,MP,0
20200507,MS,262
20200507,MT,0
20200507,NC,639
20200507,ND,48
20200507,NE,333
20200507,NH,104
20200507,NJ,1745
20200507,NM,153
20200507,NV,103
20200507,NY,3671
20200507,OH,555
20200507,OK,129
20200507,OR,73
20200507,PA,1070
20200507,PR,63
20200507,RI,325
20200507,SC,0
20200507,SD,126
20200507,TN,158
20200507,TX,968
20200507,UT,129
20200507,VA,1314
20200507,VI,0
20200507,VT,2
20200507,WA,243
20200507,WI,314
20200507,WV,39
20200507,WY,27
20200506,AK,1
20200506,AL,296
20200506,AR,72
20200506,AS,0
20200506,AZ,402
20200506,CA,2603
20200506,CO,457
20200506,CT,374
20200506,DC,139
20200506,DE,407
20200506,FL,563
20200506,GA,985
20200506,GU,2
20200506,HI,4
20200506,IA,293
20200506,ID,21
20200506,IL,2270
20200506,IN,837
20200506,KS,276
20200506,KY,577
20200506,LA,403
20200506,MA,1754
20200506,MD,1046
20200506,ME,28
20200506,MI,657
20200506,MN,728
20200506,MO,186
20200506,MP,1
20200506,MS,217
20200506,MT,0
20200506,NC,502
20200506,ND,57
20200506,NE,355
20200506,NH,48
20200506,NJ,1297
20200506,NM,107
20200506,NV,69
20200506,NY,2786
20200506,OH,607
20200506,OK,74
20200506,OR,77
20200506,PA,888
20200506,PR,44
20200506,RI,272
20200506,SC,179
20200506,SD,58
20200506,TN,248
20200506,TX,1053
20200506,UT,146
20200506,VA,0
20200506,VI,0
20200506,VT,5
20200506,WA,275
20200506,WI,335
20200506,WV,10
20200506,WY,8
20200505,AK,1
20200505,AL,260
20200505,AR,38
20200505,AS,0
20200505,AZ,386
20200505,CA,1275
20200505,CO,272
20200505,CT,1334
20200505,DC,152
20200505,DE,83
20200505,FL,542
20200505,GA,343
20200505,GU,0
20200505,HI,1
20200505,IA,408
20200505,ID,45
20200505,IL,2122
20200505,IN,526
20200505,KS,213
20200505,KY,115
20200505,LA,323
20200505,MA,1184
20200505,MD,709
20200505,ME,21
20200505,MI,447
20200505,MN,617
20200505,MO,162
20200505,MP,0
20200505,MS,330
20200505,MT,-1
20200505,NC,408
20200505,ND,41
20200505,NE,173
20200505,NH,0
20200505,NJ,2324
20200505,NM,181
20200505,NV,103
20200505,NY,2239
20200505,OH,495
20200505,OK,83
20200505,OR,80
20200505,PA,865
20200505,PR,81
20200505,RI,281
20200505,SC,131
20200505,SD,53
20200505,TN,119
20200505,TX,1037
20200505,UT,132
20200505,VA,764
20200505,VI,0
20200505,VT,3
20200505,WA,248
20200505,WI,330
20200505,WV,32
20200505,WY,10
20200504,AK,2
20200504,AL,300
20200504,AR,27
20200504,AS,0
20200504,AZ,279
20200504,CA,1321
20200504,CO,410
20200504,CT,0
20200504,DC,154
20200504,DE,80
20200504,FL,819
20200504,GA,766
20200504,GU,-1
20200504,HI,0
20200504,IA,534
20200504,ID,0
20200504,IL,2341
20200504,IN,574
20200504,KS,215
20200504,KY,251
20200504,LA,333
20200504,MA,1000
20200504,MD,946
20200504,ME,20
20200504,MI,196
20200504,MN,571
20200504,MO,368
20200504,MP,0
20200504,MS,327
20200504,MT,2
20200504,NC,184
20200504,ND,34
20200504,NE,584
20200504,NH,159
20200504,NJ,1525
20200504,NM,118
20200504,NV,65
20200504,NY,2538
20200504,OH,560
20200504,OK,72
20200504,OR,79
20200504,PA,825
20200504,PR,35
20200504,RI,175
20200504,SC,0
20200504,SD,37
20200504,TN,394
20200504,TX,784
20200504,UT,142
20200504,VA,821
20200504,VI,0
20200504,VT,5
20200504,WA,374
20200504,WI,272
20200504,WV,15
20200504,WY,7
20200503,AK,3
20200503,AL,291
20200503,AR,59
20200503,AS,0
20200503,AZ,276
20200503,CA,1419
20200503,CO,457
20200503,CT,523
20200503,DC,219
20200503,DE,170
20200503,FL,615
20200503,GA,296
20200503,GU,2
20200503,HI,1
20200503,IA,528
20200503,ID,26
20200503,IL,2994
20200503,IN,638
20200503,KS,284
20200503,KY,0
20200503,LA,200
20200503,MA,1824
20200503,MD,989
20200503,ME,33
20200503,MI,547
20200503,MN,435
20200503,MO,232
20200503,MP,0
20200503,MS,109
20200503,MT,0
20200503,NC,155
20200503,ND,38
20200503,NE,488
20200503,NH,119
20200503,NJ,3027
20200503,NM,219
20200503,NV,115
20200503,NY,3438
20200503,OH,579
20200503,OK,121
20200503,OR,45
20200503,PA,962
20200503,PR,51
20200503,RI,188
20200503,SC,137
20200503,SD,43
20200503,TN,516
20200503,TX,1026
20200503,UT,194
20200503,VA,940
20200503,VI,0
20200503,VT,5
20200503,WA,78
20200503,WI,304
20200503,WV,22
20200503,WY,13
20200502,AK,1
20200502,AL,276
20200502,AR,51
20200502,AS,0
20200502,AZ,402
20200502,CA,1755
20200502,CO,484
20200502,CT,0
20200502,DC,139
20200502,DE,120
20200502,FL,735
20200502,GA,1036
20200502,GU,2
20200502,HI,1
20200502,IA,757
20200502,ID,20
20200502,IL,2450
20200502,IN,665
20200502,KS,297
20200502,KY,171
20200502,LA,429
20200502,MA,1952
20200502,MD,1001
20200502,ME,29
20200502,MI,851
20200502,MN,498
20200502,MO,319
20200502,MP,0
20200502,MS,229
20200502,MT,2
20200502,NC,586
20200502,ND,46
20200502,NE,557
20200502,NH,164
20200502,NJ,2527
20200502,NM,102
20200502,NV,84
20200502,NY,4663
20200502,OH,592
20200502,OK,103
20200502,OR,56
20200502,PA,1334
20200502,PR,182
20200502,RI,327
20200502,SC,231
20200502,SD,63
20200502,TN,770
20200502,TX,1293
20200502,UT,153
20200502,VA,830
20200502,VI,0
20200502,VT,11
20200502,WA,106
20200502,WI,346
20200502,WV,33
20200502,WY,7
20200501,AK,9
20200501,AL,139
20200501,AR,66
20200501,AS,0
20200501,AZ,314
20200501,CA,1525
20200501,CO,526
20200501,CT,1064
20200501,DC,335
20200501,DE,184
20200501,FL,1038
20200501,GA,1115
20200501,GU,0
20200501,HI,5
20200501,IA,739
20200501,ID,31
20200501,IL,3137
20200501,IN,795
20200501,KS,211
20200501,KY,169
20200501,LA,710
20200501,MA,2106
20200501,MD,1730
20200501,ME,28
20200501,MI,977
20200501,MN,594
20200501,MO,273
20200501,MP,0
20200501,MS,397
20200501,MT,0
20200501,NC,414
20200501,ND,40
20200501,NE,497
20200501,NH,92
20200501,NJ,2538
20200501,NM,198
20200501,NV,229
20200501,NY,3942
20200501,OH,716
20200501,OK,130
20200501,OR,69
20200501,PA,1208
20200501,PR,36
20200501,RI,341
20200501,SC,163
20200501,SD,76
20200501,TN,1156
20200501,TX,1142
20200501,UT,156
20200501,VA,1055
20200501,VI,0
20200501,VT,6
20200501,WA,308
20200501,WI,460
20200501,WV,18
20200501,WY,15
20200430,AK,0
20200430,AL,177
20200430,AR,63
20200430,AS,0
20200430,AZ,446
20200430,CA,2417
20200430,CO,23
20200430,CT,933
20200430,DC,217
20200430,DE,79
20200430,FL,497
20200430,GA,583
20200430,GU,1
20200430,HI,4
20200430,IA,302
20200430,ID,32
20200430,IL,2563
20200430,IN,653
20200430,KS,500
20200430,KY,164
20200430,LA,341
20200430,MA,1940
20200430,MD,893
20200430,ME,39
20200430,MI,980
20200430,MN,492
20200430,MO,137
20200430,MP,0
20200430,MS,246
20200430,MT,2
20200430,NC,561
20200430,ND,34
20200430,NE,410
20200430,NH,44
20200430,NJ,2388
20200430,NM,239
20200430,NV,100
20200430,NY,4681
20200430,OH,724
20200430,OK,145
20200430,OR,64
20200430,PA,1397
20200430,PR,106
20200430,RI,374
20200430,SC,214
20200430,SD,76
20200430,TN,369
20200430,TX,1033
20200430,UT,177
20200430,VA,885
20200430,VI,4
20200430,VT,13
20200430,WA,241
20200430,WI,334
20200430,WV,23
20200430,WY,8
20200429,AK,4
20200429,AL,155
20200429,AR,81
20200429,AS,0
20200429,AZ,254
20200429,CA,1469
20200429,CO,856
20200429,CT,455
20200429,DC,112
20200429,DE,80
20200429,FL,347
20200429,GA,957
20200429,GU,0
20200429,HI,2
20200429,IA,467
20200429,ID,35
20200429,IL,2253
20200429,IN,594
20200429,KS,247
20200429,KY,229
20200429,LA,374
20200429,MA,1963
20200429,MD,736
20200429,ME,16
20200429,MI,1137
20200429,MN,463
20200429,MO,122
20200429,MP,0
20200429,MS,227
20200429,MT,0
20200429,NC,380
20200429,ND,42
20200429,NE,16
20200429,NH,72
20200429,NJ,2408
20200429,NM,151
20200429,NV,93
20200429,NY,4585
20200429,OH,1175
20200429,OK,63
20200429,OR,92
20200429,PA,1102
20200429,PR,33
20200429,RI,321
20200429,SC,268
20200429,SD,60
20200429,TN,314
20200429,TX,883
20200429,UT,152
20200429,VA,622
20200429,VI,3
20200429,VT,4
20200429,WA,318
20200429,WI,231
20200429,WV,16
20200429,WY,147
20200428,AK,6
20200428,AL,188
20200428,AR,94
20200428,AS,0
20200428,AZ,232
20200428,CA,1567
20200428,CO,438
20200428,CT,1043
20200428,DC,102
20200428,DE,413
20200428,FL,708
20200428,GA,702
20200428,GU,1
20200428,HI,1
